"purchase_date","Chemists & Drgustores","Clothing","DIY Goods","Eletrical Goods","Food & Consumables","Furniture & Carpets","Garden Products","Household & Textiles","Music, Films & Books","Services","Sports Equipments","Total Sales"
2017-02-20,1402.36,155.05,640.16,1645.35,NA,1305.92,2154.26,1576.23,NA,91.79,481.86,9576.81
2017-02-21,686,59.42,NA,4424.81,NA,351.84,161.13,2392.57,NA,240.32,1187.64,9503.73
2017-02-22,1778.23,464.43,1610.12,498.42,29.84,1310.36,1289.38,1544.67,274.99,88.23,541.38,9536.24
2017-02-23,707.68,172.77,198.48,1199.01,NA,2533.53,437.7,2994.94,NA,NA,595.77,9043.96
2017-02-24,2005.38,358.94,402.22,1624.59,NA,857.89,222.8,1796.31,61.71,91.92,584.91,8090.93
2017-02-25,346.13,676.49,384.3,414.4,36.77,2004.24,147.36,890.88,NA,NA,526.42,5665.3
2017-02-26,323.37,834.7,NA,710.38,NA,1200.73,50.86,1919.18,311.01,134.94,617.47,6583.5
2017-02-27,145.72,2082.78,87.22,637.46,NA,1254.41,484.2,1196.09,NA,396.9,473.02,6790.76
2017-02-28,554.18,1037.32,1641.88,561.86,NA,1881.99,424.04,5087.75,125.44,NA,614.13,12423.25
2017-03-01,1273.33,352.53,2465.65,1466.28,187.52,2189.09,294.12,4923.7,NA,219,3564.45,21189.23
2017-03-02,929.39,481.22,680.43,1616.09,177.38,1681.56,1551.81,2335.77,136.26,NA,3168.88,13575.95
2017-03-03,909.3,448.94,1403.11,3366.57,NA,1055.14,1907.11,3894.59,412.83,248.31,260.91,14348.92
2017-03-04,1191.44,2307.73,840.12,917.56,NA,2493.93,NA,3244.84,513.51,142.12,1996,14450.44
2017-03-05,1141.47,900.71,147.05,371.29,NA,1573.53,238.65,2071.64,81.64,226.75,1232.21,8853.5
2017-03-06,1616.34,584.26,612.03,739.7,187.91,2628.62,456.85,3087.04,563.24,274.44,171.58,12662.33
2017-03-07,1757.66,1130.43,831.05,2356.03,35.04,1265.09,250.07,5366.56,113.21,344.27,271.59,13845.73
2017-03-08,1133.83,616.98,1488.28,5800.64,375.82,2130.71,414.62,3527.48,566.98,78.52,412.04,18123.94
2017-03-09,1578.29,528.01,1390.93,1347.7,34.42,2998.43,758.02,4545.28,217.59,353.12,1071.57,14885.4
2017-03-10,2788.02,1180.12,425.34,2320.81,NA,2615.4,1442.83,2344.37,382.77,NA,641.61,14444.76
2017-03-11,1003.25,1178.4,135.59,2964.92,NA,834.16,323.91,5884.06,20.95,NA,1208.49,13737.93
2017-03-12,1100.23,634.43,616.97,810.03,249.06,830.12,63.56,2221.44,295.01,NA,377.77,7777.25
2017-03-13,3305.83,2004.67,920.39,1320.3,71.46,2644.71,3363.05,4219.49,263.02,63.51,970.78,19147.21
2017-03-14,3073.53,610.68,1476.35,1187.26,132.34,1977.9,87.76,6881.08,874.95,NA,378.44,17124.56
2017-03-15,2163.16,2442.05,1473.38,2192.07,385.39,1593.7,1742.53,4243.77,55.96,NA,1430,17902.89
2017-03-16,3454.85,2685.09,420.23,2234.33,569.81,3333.28,373.91,4807.22,270.36,90.05,1223.72,19462.85
2017-03-17,1883.39,1623.69,1082.57,915.83,NA,3005.87,2093.53,3026.79,363.64,74.17,825.56,14895.04
2017-03-18,366.58,5586.56,372.69,2351.01,188.85,787.34,820.57,5666.02,NA,NA,1936.61,18110.32
2017-03-19,1970.86,830.02,406.57,453.86,376.76,1376.55,526.39,1736.12,NA,NA,NA,7728.08
2017-03-20,5109.18,1671.7,1567.81,4005.7,NA,2235.01,443.51,3030.92,NA,121.08,1488.33,20173.35
2017-03-21,1218.8,1382.9,675.26,2039.67,230.92,1090.72,128.88,3746.71,208.44,NA,2325.97,14813.61
2017-03-22,2686.53,2921.41,933.36,2010.61,NA,1602.13,346.6,4984.71,120.44,NA,621.92,16663.24
2017-03-23,2500.05,886.05,1280.77,4481.91,61.1,1158.66,2705.1,5945.72,NA,NA,810.01,24153.01
2017-03-24,772.02,803.5,903.16,1525.52,NA,2477.82,1005.03,4330.22,NA,206.44,258.82,14113.47
2017-03-25,1443.33,1461.92,432.33,2103.6,NA,2353.71,248.89,3850,NA,NA,531.26,12612.51
2017-03-26,108.81,710.43,226.79,1021.33,32.86,1747.13,478.99,2481.21,32.68,NA,810.53,7861.76
2017-03-27,1196.79,890.08,1274.48,6840.98,NA,1923.64,256.82,4685.13,607.13,91.23,1720.19,21222.09
2017-03-28,942.36,3142.98,886.85,1597.8,340.26,1017.34,594.35,4569.91,799.78,NA,857.59,15316.24
2017-03-29,794.54,1202.86,75.1,1054.09,NA,2274.89,781.35,2998.13,NA,NA,625.82,10081.94
2017-03-30,367.68,228.7,1010.94,2705.48,NA,1603.11,1163.36,2354.88,99.6,NA,786.38,11435
2017-03-31,3080.19,2983.91,NA,978.49,250.07,541.65,2426.12,3171.62,126.42,30.86,589.15,14178.48
2017-04-01,2139.78,1877.34,2518.68,840.85,NA,855.55,91.94,10002.62,NA,NA,337.08,20574.68
2017-04-02,1242.06,948.94,118.88,661.59,71.03,1455.03,266.29,6390.62,350.51,NA,446.21,12083.25
2017-04-03,1264.04,329.61,138.94,708.01,204.24,1499,430.48,3630.53,NA,2151.69,515.99,11632
2017-04-04,1622.86,955.43,1171.79,2727.81,30.95,1521.69,478.55,4570.29,103.55,NA,948.7,14988.58
2017-04-05,2304.14,2797.47,1479.8,3970.03,NA,1211.4,1279.16,4768.89,1435.58,160.74,1396.96,20849.13
2017-04-06,2675.08,1716.1,814.92,4514.86,39.51,2806.77,3486.11,7698.71,86.92,41.52,339.49,27127.9
2017-04-07,2453.74,1795.17,230.32,3336.71,NA,1455.64,1325.01,2358.06,572.9,133.59,1307.38,15226.14
2017-04-08,1019.9,2534.63,836.1,330.45,218.84,1210.13,485.8,1930.53,293.12,46.86,904.6,10770.06
2017-04-09,1326.91,1477.45,308.48,874.34,63.25,717.06,1225.74,1374.38,119.44,100.02,2579.41,10166.48
2017-04-10,1725.69,2126.46,1611.32,2042.92,NA,707.86,335.26,3770.5,202.28,NA,826.42,13587.65
2017-04-11,1106.12,936.7,1180.29,1890.55,NA,681.6,693.08,2527.46,363.85,43.51,902.32,10447.39
2017-04-12,1480.5,652.86,1472.39,585.82,24.86,1239.73,109.94,2820.78,15.86,NA,995.36,9432.61
2017-04-13,2415.53,2294.35,1007.99,350.15,112.27,2091.3,293.58,2332.52,39.95,45.04,405.12,11387.8
2017-04-14,1141.94,940.63,1547.53,567.7,NA,764.81,500.37,1948.25,NA,NA,877.75,8555.3
2017-04-15,857.73,290.36,221.14,1428.25,NA,1328.49,1332.92,2896.63,429.19,NA,161.35,9887.82
2017-04-16,711.66,617.69,115.9,497.52,129.68,600.65,701.24,2175.49,NA,NA,1382.91,6932.74
2017-04-17,2000.67,1265.55,558.36,1200.57,124.93,925.41,783.88,2024.48,191.9,NA,251.89,9472.3
2017-04-18,1286.34,703.47,990.54,1523.94,NA,2166.51,649.93,15372.89,251.13,280.03,697.04,23921.82
2017-04-19,1489.19,1516.12,876.57,1818.98,26.28,1798.32,172.82,4739.99,1154.85,43.51,786.79,14423.42
2017-04-20,1634.14,1116.2,1842.4,1503.34,NA,2523.35,1709.2,4206.03,65.14,NA,1239.27,16808.32
