"purchase_date","salesbyday"
2017-09-18,34655.48
2017-09-19,24290.48
2017-09-20,26634.05
2017-09-21,25298.43
2017-09-22,19791.13
2017-09-23,12332.16
2017-09-24,16291.3
2017-09-25,23135.79
2017-09-26,26020.34
2017-09-27,25494.27
2017-09-28,27524.67
2017-09-29,35160.46
2017-09-30,15538.3
2017-10-01,22656.24
2017-10-02,27799.77
2017-10-03,31526.11
2017-10-04,25388.74
2017-10-05,34447.22
2017-10-06,22904.56
2017-10-07,18455.24
2017-10-08,20371.34
2017-10-09,34663.79
2017-10-10,34092.92
2017-10-11,28115.08
2017-10-12,23881.33
2017-10-13,28405.36
2017-10-14,17912.06
2017-10-15,22372.56
2017-10-16,36764.54
2017-10-17,42799.82
2017-10-18,34859.78
2017-10-19,28661.32
2017-10-20,22694.89
2017-10-21,18781.63
2017-10-22,23930.45
2017-10-23,27493.57
2017-10-24,26854.07
2017-10-25,22220.78
2017-10-26,27699.43
2017-10-27,24809.68
2017-10-28,19716.44
2017-10-29,23905.25
2017-10-30,25872.04
2017-10-31,27918.75
2017-11-01,23241.77
2017-11-02,27564.67
2017-11-03,28660.43
2017-11-04,23964.56
2017-11-05,22727.87
2017-11-06,34148.52
2017-11-07,27952.13
2017-11-08,23829.39
2017-11-09,30466.92
2017-11-10,23752.34
2017-11-11,29009.81
2017-11-12,29709.83
2017-11-13,30874.62
2017-11-14,32340.58
2017-11-15,28689.38
2017-11-16,35957.52
2017-11-17,38460.45
2017-11-18,29757.27
2017-11-19,24592.42
2017-11-20,54059.33
2017-11-21,49842.63
2017-11-22,32189.79
2017-11-23,53236.29
2017-11-24,197094.39
2017-11-25,78459.9
2017-11-26,57133.32
2017-11-27,63187.58
2017-11-28,60417.32
2017-11-29,51763.39
2017-11-30,37575.3
2017-12-01,50135.51
2017-12-02,37557.29
2017-12-03,36909.53
2017-12-04,57336.19
2017-12-05,48168.86
2017-12-06,47872.04
2017-12-07,35975.35
2017-12-08,36877.51
2017-12-09,24565.55
2017-12-10,30797.46
2017-12-11,41056.97
2017-12-12,42836.03
2017-12-13,34866.15
2017-12-14,31625.21
2017-12-15,32194.42
2017-12-16,23926.6
2017-12-17,23012.99
2017-12-18,34525.56
2017-12-19,24740.06
2017-12-20,33354.13
2017-12-21,22026.58
2017-12-22,18514.7
2017-12-23,17350.08
2017-12-24,6766.71
2017-12-25,12662.23
2017-12-26,26308.78
2017-12-27,22974.27
2017-12-28,18272.23
2017-12-29,22598.81
2017-12-30,16042.79
2017-12-31,10240.76
2018-01-01,9768.27
2018-01-02,31356.52
2018-01-03,39589.39
2018-01-04,43294.47
2018-01-05,35524.63
2018-01-06,37549.84
2018-01-07,34656.95
2018-01-08,49149.39
2018-01-09,39304.65
2018-01-10,45672.98
2018-01-11,48271.49
2018-01-12,40930.17
2018-01-13,34511.07
2018-01-14,37282.41
2018-01-15,46493.54
2018-01-16,55854.41
2018-01-17,43157.84
2018-01-18,35597.78
2018-01-19,36531.09
2018-01-20,28174.14
2018-01-21,29747.1
2018-01-22,46591.83
2018-01-23,43141.2
2018-01-24,41715.78
2018-01-25,37213.05
2018-01-26,41945.36
2018-01-27,28093.73
2018-01-28,28681.01
2018-01-29,38719.75
2018-01-30,40565.66
2018-01-31,38460.68
2018-02-01,37969.72
2018-02-02,33736.46
2018-02-03,28502.33
2018-02-04,29935.05
2018-02-05,47074.11
2018-02-06,42742.13
2018-02-07,36812.82
2018-02-08,34035.33
2018-02-09,35576.41
2018-02-10,25852.98
2018-02-11,26629.67
2018-02-12,29364.67
2018-02-13,30998.97
2018-02-14,46142.23
2018-02-15,40325.94
2018-02-16,33258
2018-02-17,30106.27
2018-02-18,29603.99
2018-02-19,34705.28
2018-02-20,43150.7
2018-02-21,38784.99
2018-02-22,40291.68
2018-02-23,34113.34
2018-02-24,29047.13
2018-02-25,36840.29
2018-02-26,52678.49
2018-02-27,48949.44
2018-02-28,55462.05
2018-03-01,47623.33
2018-03-02,38961.51
2018-03-03,31835.53
2018-03-04,38869.89
2018-03-05,47492.22
2018-03-06,47477.71
2018-03-07,43195.41
2018-03-08,35709.58
2018-03-09,35150.75
2018-03-10,32181.89
2018-03-11,37956.69
2018-03-12,37945.62
2018-03-13,42984.36
2018-03-14,29436.12
2018-03-15,52568.17
2018-03-16,42884.45
2018-03-17,27051.77
2018-03-18,37668.75
2018-03-19,55242.59
2018-03-20,44758.98
2018-03-21,48204.49
2018-03-22,39230.43
2018-03-23,37857.73
2018-03-24,30119.66
2018-03-25,34731.85
2018-03-26,44634.47
2018-03-27,44601.68
2018-03-28,35829.85
2018-03-29,34881.13
2018-03-30,27509.58
2018-03-31,31177.15
2018-04-01,35853.61
2018-04-02,50918.58
2018-04-03,43367.33
2018-04-04,47710.84
2018-04-05,43477.02
2018-04-06,34747.78
2018-04-07,30868.39
2018-04-08,29951.69
2018-04-09,56398.15
2018-04-10,33235.63
2018-04-11,49537.89
2018-04-12,42534.14
2018-04-13,37878.05
2018-04-14,26078.89
2018-04-15,38865.64
2018-04-16,50284.93
2018-04-17,49308.71
2018-04-18,47441.9
