"purchase_date","product_category","sales"
2017-01-13,"bed_bath_table",85.6
2017-01-13,"furniture_decor",188.71
2017-01-13,"garden_tools",1263.19
2017-01-13,"health_beauty",270.57
2017-01-13,"housewares",517.59
2017-01-13,"sports_leisure",149.62
2017-01-13,"watches_gifts",305.44
2017-01-14,"bed_bath_table",77.75
2017-01-14,"consoles_games",124.84
2017-01-14,"fixed_telephony",125.47
2017-01-14,"furniture_decor",627.16
2017-01-14,"sports_leisure",552.14
2017-01-15,"bed_bath_table",64.46
2017-01-15,"cool_stuff",54.95
2017-01-15,"fashion_bags_accessories",104.65
2017-01-15,"furniture_decor",1525.63
2017-01-15,"garden_tools",848.76
2017-01-15,"health_beauty",374.28
2017-01-15,"sports_leisure",199.36
2017-01-15,"telephony",50.02
2017-01-15,"toys",176.23
2017-01-16,"auto",1046.44
2017-01-16,"cool_stuff",665.7
2017-01-16,"electronics",55.11
2017-01-16,"fashion_bags_accessories",245.02
2017-01-16,"fixed_telephony",295.1
2017-01-16,"furniture_decor",509.58
2017-01-16,"health_beauty",779.66
2017-01-16,"market_place",43.86
2017-01-16,"pet_shop",93.72
2017-01-16,"sports_leisure",42.52
2017-01-16,"telephony",33.33
2017-01-17,"auto",122.54
2017-01-17,"baby",150.22
2017-01-17,"bed_bath_table",60.64
2017-01-17,"cool_stuff",82.58
2017-01-17,"electronics",203.85
2017-01-17,"fashion_bags_accessories",185.26
2017-01-17,"fixed_telephony",43.9
2017-01-17,"furniture_decor",803.11
2017-01-17,"garden_tools",175.85
2017-01-17,"health_beauty",367.56
2017-01-17,"perfumery",216.14
2017-01-17,"small_appliances",53.46
2017-01-17,"sports_leisure",488.85
2017-01-17,"toys",503.47
2017-01-17,"watches_gifts",406.14
2017-01-18,"auto",139.59
2017-01-18,"baby",386.58
2017-01-18,"bed_bath_table",84.59
2017-01-18,"computers_accessories",286.17
2017-01-18,"consoles_games",740.62
2017-01-18,"electronics",74.59
2017-01-18,"fixed_telephony",27.04
2017-01-18,"furniture_decor",412.16
2017-01-18,"garden_tools",50.59
2017-01-18,"health_beauty",676.98
2017-01-18,"home_appliances",485.38
2017-01-18,"housewares",186.46
2017-01-18,"market_place",88.23
2017-01-18,"pet_shop",123.04
2017-01-18,"sports_leisure",219.82
2017-01-18,"stationery",176.23
2017-01-18,"toys",320.82
2017-01-18,"watches_gifts",204.49
2017-01-19,"auto",198.68
2017-01-19,"baby",400.72
2017-01-19,"bed_bath_table",331.45
2017-01-19,"computers_accessories",96.1
2017-01-19,"electronics",44.02
2017-01-19,"fixed_telephony",25.51
2017-01-19,"furniture_decor",2392.34
2017-01-19,"health_beauty",161.71
2017-01-19,"housewares",552.17
2017-01-19,"market_place",87.83
2017-01-19,"sports_leisure",744.38
2017-01-19,"telephony",22.55
2017-01-19,"toys",43.62
2017-01-20,"auto",497.74
2017-01-20,"baby",36.04
2017-01-20,"bed_bath_table",138.35
2017-01-20,"consoles_games",296.91
2017-01-20,"cool_stuff",1538.92
2017-01-20,"electronics",263.04
2017-01-20,"fashion_bags_accessories",75.73
2017-01-20,"fashion_shoes",49.01
2017-01-20,"furniture_decor",781.36
2017-01-20,"garden_tools",121.84
2017-01-20,"health_beauty",602.47
2017-01-20,"sports_leisure",247.37
2017-01-20,"stationery",387.64
2017-01-21,"auto",33.52
2017-01-21,"bed_bath_table",723.15
2017-01-21,"computers_accessories",35.95
2017-01-21,"consoles_games",303.72
2017-01-21,"cool_stuff",26.76
2017-01-21,"electronics",22.46
2017-01-21,"fashion_male_clothing",159.11
2017-01-21,"furniture_decor",1703.63
2017-01-21,"health_beauty",44.95
2017-01-21,"sports_leisure",169.95
2017-01-21,"stationery",448.05
2017-01-22,"baby",50.96
2017-01-22,"bed_bath_table",187.82
2017-01-22,"consoles_games",709.93
2017-01-22,"electronics",22.46
2017-01-22,"fashion_underwear_beach",102.15
2017-01-22,"fixed_telephony",112.06
2017-01-22,"furniture_decor",801.88
2017-01-22,"garden_tools",413.28
2017-01-22,"health_beauty",1164.69
2017-01-22,"housewares",25.46
2017-01-22,"pet_shop",170.36
2017-01-22,"sports_leisure",133.09
2017-01-22,"toys",247.73
2017-01-23,"agro_industry_and_commerce",61.42
2017-01-23,"air_conditioning",338.46
2017-01-23,"auto",817.37
2017-01-23,"bed_bath_table",273.12
